timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,label,session_id,mouse_left_click_freq,mouse_right_click_freq,mouse_scroll_freq,keyboard_counts_freq,mouse_distance_freq
0.0,0.0,0,0,0,0,-6.068726591760299,28.219475655430706,62.569288389513105,41.01814221483343,1,0,0.0,0.0,0.0,0.0,0.0
1.0,71.53666027095362,0,0,0,5,37.931273408239704,28.319475655430715,72.5692883895131,40.94362386480901,1,0,0.0,0.0,0.0,5.0,71.53666027095362
2.0,62.84067125989308,0,0,0,2,37.931273408239704,28.319475655430715,65.5692883895131,40.94362386480901,1,0,0.0,0.0,0.0,7.0,134.3773315308467
3.0,79.34519708161125,0,0,0,1,41.331273408239696,28.319475655430715,45.569288389513105,41.334439692850054,1,0,0.0,0.0,0.0,8.0,213.72252861245795
4.0,175.4284131548987,0,0,0,6,38.63127340823971,28.41947565543071,68.5692883895131,41.72525552089108,1,0,0.0,0.0,0.0,14.0,389.15094176735664
5.0,32.519453413386536,0,1,0,4,48.5312734082397,28.41947565543071,67.5692883895131,42.13057428005082,1,0,0.0,1.0,0.0,18.0,421.6703951807432
6.0,16.48110816796639,1,0,0,2,49.13127340823971,28.519475655430703,70.5692883895131,42.13057428005082,1,0,1.0,1.0,0.0,20.0,438.1515033487096
7.0,10.23606797749979,0,0,0,3,47.0312734082397,28.719475655430706,72.5692883895131,42.13057428005082,1,0,1.0,1.0,0.0,23.0,448.38757132620935
8.0,98.9528088530759,0,1,0,5,55.931273408239704,28.619475655430712,62.569288389513105,42.73206426539524,1,0,1.0,2.0,0.0,28.0,547.3403801792853
9.0,28.141893120142704,0,0,0,8,59.13127340823971,28.319475655430715,72.5692883895131,42.92747217941576,1,0,1.0,2.0,0.0,36.0,575.4822732994279
10.0,57.02615577999767,1,1,0,1,55.0312734082397,28.41947565543071,70.5692883895131,42.92747217941576,1,0,2.0,3.0,0.0,37.0,632.5084290794256
11.0,157.41939134889626,0,2,0,7,55.431273408239704,28.41947565543071,69.5692883895131,43.122880093436265,1,0,2.0,5.0,0.0,39.0,718.3911601573683
12.0,87.48257370444189,0,0,0,7,59.0312734082397,28.819475655430715,71.5692883895131,43.318288007456786,1,0,2.0,5.0,0.0,44.0,743.033062601917
13.0,37.09702061259824,1,1,0,1,50.831273408239696,29.119475655430712,72.5692883895131,43.47629362543431,1,0,3.0,6.0,0.0,44.0,700.784886132904
14.0,16.152982445082948,0,0,0,0,51.431273408239704,29.219475655430706,72.5692883895131,43.47629362543431,1,0,3.0,6.0,0.0,38.0,541.5094554230883
15.0,98.45596188071684,0,1,0,5,58.7312734082397,29.519475655430703,71.5692883895131,43.86710945347534,1,0,3.0,6.0,0.0,39.0,607.4459638904186
16.0,70.85702468096736,0,0,0,5,50.2312734082397,29.519475655430703,69.5692883895131,43.86710945347534,1,0,2.0,6.0,0.0,42.0,661.8218804034196
17.0,25.931148210338176,1,1,0,1,43.13127340823971,29.519475655430703,71.5692883895131,43.86710945347534,1,0,3.0,7.0,0.0,40.0,677.516960636258
18.0,25.04797158203908,0,0,0,4,59.33127340823971,29.719475655430706,71.5692883895131,43.86710945347534,1,0,3.0,6.0,0.0,39.0,603.6121233652211
19.0,59.10929319670194,0,2,0,5,49.13127340823971,29.519475655430703,71.5692883895131,43.86710945347534,1,0,3.0,8.0,0.0,36.0,634.5795234417805
20.0,59.366948916404375,0,1,0,4,55.2312734082397,29.619475655430712,72.5692883895131,44.4533331955369,1,0,2.0,8.0,0.0,39.0,636.9203165781871
21.0,16.246537600251443,1,0,0,1,55.331273408239696,29.319475655430715,71.5692883895131,44.4533331955369,1,0,3.0,6.0,0.0,33.0,495.7474628295423
22.0,18.89068487304474,0,0,0,0,52.13127340823971,29.519475655430703,69.5692883895131,44.4533331955369,1,0,3.0,6.0,0.0,26.0,427.15557399814514
23.0,11.63633870158354,0,1,0,4,50.431273408239704,29.219475655430706,71.5692883895131,44.4533331955369,1,0,2.0,6.0,0.0,29.0,401.6948920871304
24.0,91.64649541764486,0,0,0,5,47.7312734082397,28.91947565543071,72.5692883895131,44.64874110955742,1,0,2.0,6.0,0.0,34.0,477.18840505969234
25.0,42.09257895851078,1,1,0,3,43.63127340823971,29.119475655430712,69.5692883895131,44.64874110955742,1,0,3.0,6.0,0.0,32.0,420.82502213748626
26.0,174.4782731017577,0,1,0,6,46.931273408239704,29.119475655430712,72.5692883895131,44.64874110955742,1,0,3.0,7.0,0.0,33.0,524.4462705582766
27.0,68.9473764185848,0,0,0,8,51.13127340823971,29.219475655430706,70.5692883895131,44.66477066500441,1,0,2.0,6.0,0.0,40.0,567.4624987665233
28.0,25.112466684285057,1,1,0,3,51.2312734082397,29.219475655430706,70.5692883895131,44.66477066500441,1,0,3.0,7.0,0.0,39.0,567.5269938687693
29.0,4.0,0,0,0,13,38.431273408239704,29.319475655430715,71.5692883895131,44.66477066500441,1,0,3.0,5.0,0.0,47.0,512.4177006720673
30.0,66.88041029148206,0,1,0,20,44.331273408239696,29.519475655430703,71.5692883895131,44.86017857902493,1,0,3.0,5.0,0.0,63.0,519.931162047145
31.0,41.601070745219424,0,0,0,4,53.431273408239704,29.519475655430703,72.5692883895131,44.86017857902493,1,0,2.0,5.0,0.0,66.0,545.2856951921129
32.0,15.94721147617606,1,1,0,3,42.0312734082397,29.619475655430712,72.5692883895131,44.86017857902493,1,0,3.0,6.0,0.0,69.0,542.3422217952443
33.0,9.23606797749979,0,0,0,0,44.7312734082397,29.219475655430706,71.5692883895131,44.86017857902493,1,0,3.0,5.0,0.0,65.0,539.9419510711605
34.0,55.332986756041805,0,1,0,4,47.2312734082397,29.019475655430703,72.5692883895131,45.05558649304545,1,0,3.0,6.0,0.0,64.0,503.62844240955746
35.0,102.5914362199501,0,0,0,3,45.7312734082397,29.119475655430712,72.5692883895131,45.05558649304545,1,0,2.0,5.0,0.0,64.0,564.1272996709968
36.0,22.90863912530887,1,1,0,3,43.7312734082397,29.119475655430712,72.5692883895131,45.05558649304545,1,0,3.0,5.0,0.0,61.0,412.55766569454795
37.0,14.246537600251443,0,1,0,0,47.13127340823971,29.119475655430712,70.5692883895131,45.05558649304545,1,0,3.0,6.0,0.0,53.0,357.8568268762146
38.0,93.2741807365121,0,0,0,5,48.13127340823971,29.019475655430703,71.5692883895131,45.05558649304545,1,0,2.0,5.0,0.0,55.0,426.01854092844167
39.0,20.74930105346567,1,1,0,7,57.2312734082397,29.119475655430712,70.5692883895131,45.05558649304545,1,0,3.0,6.0,0.0,49.0,442.7678419819073
40.0,18.453730775805585,0,6,0,11,56.5312734082397,29.019475655430703,71.5692883895131,45.05558649304545,1,0,3.0,11.0,0.0,40.0,394.3411624662308
41.0,42.800626858837305,0,4,0,5,59.0312734082397,29.119475655430712,71.5692883895131,45.05558649304545,1,0,3.0,15.0,0.0,41.0,395.5407185798487
42.0,63.56136026595154,0,0,0,5,45.5312734082397,29.219475655430706,68.5692883895131,45.05558649304545,1,0,2.0,14.0,0.0,43.0,443.1548673696242
43.0,24.682026290799413,1,1,0,6,43.331273408239696,29.219475655430706,72.5692883895131,45.05558649304545,1,0,3.0,15.0,0.0,49.0,458.6008256829238
44.0,15.69890871741394,0,0,0,9,53.0312734082397,29.41947565543071,70.5692883895131,45.05558649304545,1,0,3.0,14.0,0.0,54.0,418.966747644296
45.0,21.901046542878237,0,1,0,9,51.431273408239704,29.319475655430715,70.5692883895131,45.05558649304545,1,0,3.0,15.0,0.0,60.0,338.2763579672241
46.0,56.983315275031785,0,0,0,5,47.0312734082397,29.319475655430715,71.5692883895131,45.05558649304545,1,0,2.0,14.0,0.0,62.0,372.351034116947
47.0,44.84499545075877,1,1,0,4,45.2312734082397,29.619475655430712,72.5692883895131,45.05558649304545,1,0,3.0,14.0,0.0,66.0,402.9494919674543
48.0,40.84993247399058,0,0,0,3,58.63127340823971,29.619475655430712,67.5692883895131,45.05558649304545,1,0,3.0,14.0,0.0,64.0,350.52524370493285
49.0,19.47213595499958,0,1,0,4,47.431273408239704,29.519475655430703,72.5692883895131,45.05558649304545,1,0,2.0,14.0,0.0,61.0,349.2480786064668
50.0,101.77765876046676,0,0,0,6,46.5312734082397,29.619475655430712,70.5692883895131,45.05558649304545,1,0,2.0,8.0,0.0,56.0,432.57200659112794
51.0,24.369654523553027,0,1,0,3,60.63127340823971,29.819475655430715,71.5692883895131,45.05558649304545,1,0,2.0,5.0,0.0,54.0,414.14103425584364
52.0,18.5834641249318,1,0,0,1,54.431273408239704,29.41947565543071,72.5692883895131,45.05558649304545,1,0,3.0,5.0,0.0,50.0,369.1631381148239
53.0,145.47664623693717,0,1,0,5,49.431273408239704,29.219475655430706,72.5692883895131,45.250994407065974,1,0,2.0,5.0,0.0,49.0,489.9577580609617
54.0,60.47972106185427,1,1,0,3,47.2312734082397,29.219475655430706,71.5692883895131,45.250994407065974,1,0,3.0,6.0,0.0,43.0,534.738570405402
