timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,read_bytes_per_sec,write_bytes_per_sec,label
2025-09-23 21:26:52,0,0,0,0,0,0.0,67.8,33,19.059857031631655,0,0,0,0,0,0,idle
2025-09-23 21:26:53,0,0,0,0,0,9.4,67.9,35,19.011005053126524,0,0,0,0,0,102400,idle
2025-09-23 21:26:54,0,0,0,0,0,10.6,68.0,35,19.011005053126524,316,260,3,3,0,16384,idle
2025-09-23 21:26:55,0,0,0,0,0,10.0,68.1,37,19.011005053126524,109,66,2,1,0,0,idle
2025-09-23 21:26:56,0,0,0,0,0,13.5,67.8,35,19.007951804469954,0,0,0,0,0,4096,idle
2025-09-23 21:26:57,0,0,0,0,0,10.1,67.8,37,19.007951804469954,0,0,0,0,0,8192,idle
2025-09-23 21:26:58,0,0,0,0,0,10.2,67.8,37,19.007951804469954,0,0,0,0,999424,1429504,idle
2025-09-23 21:26:59,0,0,0,0,0,14.9,67.9,37,19.05222390999023,0,0,0,0,64512,249856,idle
2025-09-23 21:27:00,0,0,0,0,0,10.2,68.2,39,19.00108199499267,0,0,0,0,0,20480,idle
2025-09-23 21:27:01,0,0,0,0,0,16.2,68.7,37,19.00108199499267,0,0,0,0,0,40960,idle
2025-09-23 21:27:02,0,0,0,0,0,18.5,68.5,39,19.00108199499267,0,0,0,0,458752,1470976,idle
2025-09-23 21:27:03,0,0,0,0,0,15.0,68.4,39,19.00108199499267,0,0,0,0,376832,1155072,idle
2025-09-23 21:27:04,0,0,0,0,0,12.2,68.5,39,19.00108199499267,261,134,2,1,475136,1079808,idle
2025-09-23 21:27:05,0,0,0,0,0,13.9,67.9,39,18.558360939789935,55,66,1,1,0,53248,idle
2025-09-23 21:27:06,0,0,0,0,0,12.3,67.9,38,18.558360939789935,0,0,0,0,425984,960512,idle
2025-09-23 21:27:07,0,0,0,0,0,8.5,68.0,38,18.50950896128481,0,0,0,0,327680,757760,idle
2025-09-23 21:27:08,0,0,0,0,0,9.3,67.5,39,18.50950896128481,0,0,0,0,294912,679936,idle
2025-09-23 21:27:09,0,0,0,0,0,12.1,67.7,39,18.50950896128481,864,0,16,0,16384,208896,idle
2025-09-23 21:27:10,0,0,0,0,0,10.3,67.7,16,18.50950896128481,164,132,3,2,311296,880128,idle
2025-09-23 21:27:11,0,0,0,0,0,8.7,67.8,16,18.50950896128481,380,550,7,8,262144,614400,idle
2025-09-23 21:27:12,0,0,0,0,0,9.6,67.8,17,18.50950896128481,218,551,4,7,0,53248,idle
2025-09-23 21:27:13,0,0,0,0,0,11.8,67.9,26,18.50950896128481,110,192,2,3,327680,589824,idle
2025-09-23 21:27:14,0,0,0,0,0,9.6,67.6,29,18.50950896128481,261,254,2,3,98304,204800,idle
2025-09-23 21:27:15,0,0,0,0,0,9.1,67.6,32,18.50950896128481,0,0,0,0,180224,542720,idle
2025-09-23 21:27:16,0,0,0,0,0,7.7,67.7,32,18.50950896128481,0,0,0,0,0,0,idle
2025-09-23 21:27:17,0,0,0,0,0,9.0,67.8,34,18.50950896128481,257,60,3,1,131072,294912,idle
2025-09-23 21:27:18,0,0,0,0,0,10.5,67.4,35,18.50950896128481,147,66,1,1,49152,118784,idle
2025-09-23 21:27:19,0,0,0,0,0,8.5,67.4,35,18.50950896128481,0,0,0,0,0,0,idle
2025-09-23 21:27:20,0,0,0,0,0,9.7,67.1,40,18.50950896128481,0,0,0,0,196608,430080,idle
2025-09-23 21:27:21,0,0,0,0,0,9.1,67.1,36,18.50950896128481,0,0,0,0,0,10240,idle
2025-09-23 21:27:22,0,0,0,0,0,8.6,67.2,41,18.50950896128481,0,0,0,0,0,0,idle
2025-09-23 21:27:23,0,0,0,0,0,9.2,67.3,37,18.50950896128481,108,305,2,4,0,61440,idle
2025-09-23 21:27:24,0,0,0,0,0,11.8,67.4,37,18.50950896128481,1261,1380,20,4,0,8192,idle
2025-09-23 21:27:25,0,0,0,0,0,19.9,67.5,39,18.50950896128481,206,199,9,1,65536,77312,idle
2025-09-23 21:27:26,0,0,0,0,0,12.1,67.7,38,18.50950896128481,1758,3077,7,5,159744,4392960,idle
2025-09-23 21:27:27,0,0,0,0,0,12.9,67.8,38,18.50950896128481,9755,4312,20,17,143360,286720,idle
